Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1764182171,50,,Aggregated,10.900000,0.000000,360,440,840,4900,5400,10000,10000,10000,10000,11000,11000,2780,190,360.0,1741.4258885230843,1.9753000233322382,11113.704100018367,325.0690647482014
1764182172,50,,Aggregated,10.900000,0.000000,360,440,840,4900,5400,10000,10000,10000,10000,11000,11000,2788,191,360.0,1742.509547487226,1.9753000233322382,11113.704100018367,324.9296987087518
1764182173,50,,Aggregated,10.400000,0.700000,360,440,840,4900,5400,10000,10000,10000,10000,11000,11000,2794,192,360.0,1742.8483899406763,1.9753000233322382,11113.704100018367,324.5919828203293
1764182174,50,,Aggregated,10.400000,0.700000,360,440,870,5000,5400,10000,10000,10000,10000,11000,11000,2800,196,360.0,1754.4538187835965,1.9753000233322382,11113.704100018367,324.6114285714286
1764182175,50,,Aggregated,9.700000,0.900000,360,440,890,5100,5400,10000,10000,10000,10000,11000,11000,2806,200,360.0,1765.283269206701,1.9753000233322382,11113.704100018367,324.49964362081255
1764182176,50,,Aggregated,9.300000,1.400000,360,440,900,5100,5400,10000,10000,10000,10000,11000,11000,2813,200,360.0,1769.4229715940114,1.9753000233322382,11113.704100018367,324.3423391397085
1764182177,50,,Aggregated,8.900000,1.700000,370,440,1100,5300,5500,10000,10000,10000,10000,11000,11000,2841,200,370.0,1789.2988288961285,1.9753000233322382,11113.704100018367,325.01619148187257
1764182178,50,,Aggregated,8.400000,1.800000,370,440,1200,5300,5500,10000,10000,10000,11000,11000,11000,2850,202,370.0,1793.0839236469515,1.9753000233322382,11113.704100018367,324.5129824561404
1764182179,50,,Aggregated,10.100000,1.800000,370,440,1100,5300,5500,10000,10000,10000,11000,11000,11000,2864,202,370.0,1785.0684201794088,1.9753000233322382,11113.704100018367,323.94692737430165
1764182180,50,,Aggregated,10.200000,2.000000,360,440,1000,5200,5500,10000,10000,10000,11000,11000,11000,2872,202,360.0,1780.6881188348839,1.9753000233322382,11113.704100018367,323.8272980501393
1764182181,50,,Aggregated,11.000000,2.000000,360,440,1000,5300,5500,10000,10000,10000,11000,11000,11000,2885,203,360.0,1782.7028851278217,1.9753000233322382,11113.704100018367,323.86100519930676
1764182182,50,,Aggregated,10.800000,1.500000,370,440,1100,5300,5500,10000,10000,10000,11000,11000,11000,2899,204,370.0,1792.5239665035888,1.9753000233322382,11113.704100018367,324.0541566057261
1764182183,50,,Aggregated,10.000000,1.400000,370,440,1100,5300,5500,10000,10000,10000,11000,11000,11000,2908,204,370.0,1791.365548622432,1.9753000233322382,11113.704100018367,324.09491059147183
1764182184,50,,Aggregated,10.800000,1.300000,370,440,1100,5300,5500,10000,10000,10000,11000,11000,11000,2928,205,370.0,1793.5347273885216,1.9753000233322382,11278.80709990859,323.7254098360656
1764182185,50,,Aggregated,11.100000,1.300000,370,440,1100,5300,5500,10000,10000,10000,11000,12000,12000,2947,206,370.0,1794.7618685759767,1.9753000233322382,11852.130900137126,323.8279606379369
1764182186,50,,Aggregated,11.900000,0.900000,370,440,1200,5300,5500,10000,10000,10000,11000,12000,12000,2975,206,370.0,1795.689830182574,1.9753000233322382,11852.130900137126,324.1052100840336
1764182187,50,,Aggregated,13.900000,0.700000,360,440,1100,5300,5500,10000,10000,10000,11000,12000,12000,2992,206,360.0,1786.7426199509039,1.9753000233322382,11852.130900137126,323.9064171122995
1764182188,50,,Aggregated,15.600000,0.600000,360,440,1000,5300,5500,10000,10000,10000,11000,12000,12000,3014,206,360.0,1776.0768333421686,1.9753000233322382,11852.130900137126,324.2342402123424
1764182189,50,,Aggregated,15.200000,0.600000,360,440,940,5100,5500,10000,10000,10000,11000,12000,12000,3038,206,360.0,1764.7637185626684,1.9753000233322382,11852.130900137126,324.86175115207374
1764182190,50,,Aggregated,16.300000,0.400000,360,440,890,4900,5500,10000,10000,10000,11000,12000,12000,3056,206,360.0,1755.6605159336425,1.9753000233322382,11852.130900137126,324.5732984293194
1764182191,50,,Aggregated,16.800000,0.400000,360,440,860,4900,5500,10000,10000,10000,11000,12000,12000,3075,206,360.0,1746.1255424367491,1.9753000233322382,11852.130900137126,324.3190243902439
1764182192,50,,Aggregated,17.700000,0.400000,360,440,820,4800,5400,10000,10000,10000,11000,12000,12000,3088,206,360.0,1739.799234842163,1.9753000233322382,11852.130900137126,324.24093264248705
1764182193,50,,Aggregated,19.000000,0.300000,360,440,750,4500,5400,10000,10000,10000,11000,12000,12000,3102,206,360.0,1733.403812312094,1.9753000233322382,11852.130900137126,324.1940683430045
1764182194,50,,Aggregated,18.800000,0.200000,360,440,700,4400,5400,10000,10000,10000,11000,12000,12000,3111,206,360.0,1729.1517064583193,1.9753000233322382,11852.130900137126,324.1134683381549
1764182195,50,,Aggregated,19.500000,0.200000,360,430,690,4400,5400,10000,10000,10000,11000,12000,12000,3121,206,360.0,1726.053061003587,1.9753000233322382,11852.130900137126,324.063761614867
1764182196,50,,Aggregated,18.900000,0.100000,360,430,700,4400,5400,10000,10000,10000,11000,12000,12000,3132,206,360.0,1725.644532053706,1.9753000233322382,11852.130900137126,324.04469987228606
1764182197,50,,Aggregated,17.300000,0.000000,360,430,690,4400,5400,10000,10000,10000,11000,12000,12000,3140,206,360.0,1723.1785720993562,1.9753000233322382,11852.130900137126,323.70063694267515
1764182198,50,,Aggregated,16.400000,0.000000,360,430,700,4500,5400,10000,10000,10000,11000,12000,12000,3150,206,360.0,1725.1525064736663,1.9753000233322382,11852.130900137126,323.8863492063492
1764182199,50,,Aggregated,14.900000,0.000000,360,430,780,4800,5400,10000,10000,10000,11000,12000,12000,3164,208,360.0,1733.0773420015664,1.9753000233322382,11852.130900137126,324.16814159292034
1764182200,50,,Aggregated,13.400000,0.000000,360,430,780,4800,5400,10000,10000,10000,11000,12000,12000,3173,209,360.0,1735.2518701523466,1.9753000233322382,11852.130900137126,324.1938228805547
1764182201,50,,Aggregated,12.800000,0.000000,360,430,780,4800,5400,10000,10000,10000,11000,12000,12000,3184,209,360.0,1733.4941717001595,1.9753000233322382,11852.130900137126,324.29020100502515
1764182202,50,,Aggregated,11.600000,0.200000,360,430,780,4800,5400,10000,10000,10000,11000,12000,12000,3192,210,360.0,1734.5125031308708,1.9753000233322382,11852.130900137126,324.2857142857143
1764182203,50,,Aggregated,11.300000,0.300000,360,440,850,5000,5400,10000,10000,10000,11000,12000,12000,3206,216,360.0,1751.6142525558382,1.9753000233322382,11852.130900137126,324.5171553337492
1764182204,50,,Aggregated,10.100000,0.300000,360,440,860,5100,5500,10000,10000,10000,11000,12000,12000,3219,219,360.0,1756.4128396998478,1.9753000233322382,11852.130900137126,324.52221186703946
1764182205,50,,Aggregated,10.000000,0.700000,360,440,860,5100,5500,10000,10000,10000,11000,12000,12000,3227,220,360.0,1757.0765431960833,1.9753000233322382,11852.130900137126,324.28912302448094
